B1 1AY
B10 0AB
B11 1AA
B12 0AA
B13 0AA
B14 4AA
B15 1AE
B16 0AA
B17 0AA
B18 4AG
B19 1AA
B2 2AB
B20 1AA
B21 0AB
B23 3AA
B24 0AA
B25 8AA
B26 1AA
B27 6AA
B28 0AA
B29 4AA
B3 1AG
B30 1AA
B31 1AB
B32 1AA
B33 0AA
B34 6AA
B35 6AA
B36 0AA
B37 5AA
B38 0AA
B4 6AA
B40 1AB
B42 1AA
B43 5AA
B44 0AA
B45 0AJ
B46 1AA
B47 5BN
B48 7AA
B49 5AA
B5 4AA
B50 4AA
B6 4AA
B60 1AB
B61 0AA
B62 0AA
B63 1AA
B64 5AB
B65 0AA
B66 1AA
B67 5AA
B68 0AA
B69 1AA
B7 4AA
B70 0AA
B71 1AA
B72 1AE
B73 5AA
B74 2AA
B75 5AA
B76 0AA
B77 1AA
B78 1AA
B79 0AA
B8 1AB
B80 7AA
B9 4AA
B90 1AA
B91 1AA
B92 0AA
B93 0AA
B94 5AA
B95 5AA
B96 6AA
B97 4AB
B98 0AA
B99 1AA
