LL11 0BY
LL12 0AA
LL13 0AA
LL14 1AA
LL15 1AA
LL16 3AA
LL17 0AA
LL18 1AA
LL19 0BH
LL20 7AA
LL21 0AA
LL22 7AA
LL23 7AA
LL24 0AB
LL25 0DJ
LL26 0AA
LL27 0HX
LL28 4AA
LL29 0AR
LL30 1AB
LL31 9AA
LL32 8AB
LL33 0AA
LL34 6AA
LL35 0DY
LL36 0AA
LL37 2JA
LL38 2AJ
LL39 1AJ
LL40 1AA
LL41 3AA
LL42 1AB
LL43 2AA
LL44 2BE
LL45 2AA
LL46 2AA
LL47 6TA
LL48 6AA
LL49 0AU
LL51 9AJ
LL52 0AA
LL53 5AA
LL54 5AA
LL55 1AB
LL56 4AB
LL57 1AB
LL58 8AA
LL59 5AA
LL60 6AA
LL61 5AB
LL62 5AA
LL63 5AA
LL64 5AB
LL65 1AA
LL66 0AA
LL67 0AA
LL68 0NT
LL69 9AB
LL70 9DJ
LL71 7AA
LL72 8HA
LL73 8NY
LL74 8AB
LL75 7DR
LL76 8NX
LL77 7AA
LL78 7JF
