PA1 1AD
PA10 2AB
PA11 3AA
PA12 4AA
PA13 4AA
PA14 5AA
PA15 1AE
PA16 0AA
PA17 5AA
PA18 6AA
PA19 1AA
PA2 0AA
PA20 0AH
PA21 2AA
PA22 3AA
PA23 7AA
PA24 8AA
PA25 8AZ
PA26 8BA
PA27 8AD
PA28 6AA
PA29 6AA
PA3 1AB
PA30 8AB
PA31 8AA
PA32 8AA
PA33 1AA
PA34 4AA
PA35 1AG
PA36 4AB
PA37 1AA
PA38 4AA
PA4 0AA
PA41 7AA
PA42 7AB
PA43 7AB
PA44 7NY
PA45 7QL
PA46 7RB
PA47 7SG
PA48 7TL
PA49 7UN
PA5 0AA
PA6 7AA
PA60 7XA
PA61 7YN
PA62 6AA
PA63 6AH
PA64 6AB
PA65 6AY
PA66 6BH
PA67 6DA
PA68 6EH
PA69 6ER
PA7 5AA
PA70 6HB
PA71 6HR
PA72 6JB
PA73 6LT
PA74 6NH
PA75 6AB
PA76 6SG
PA77 6AB
PA78 6SY
PA8 6AA
PA80 5AB
PA9 1AA
